"","rowname","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","name"
"1","MAPKAPK2",0.0619043826008493,0.993849793203938,NA,21.0731173082647,4.55764354565161e-06,2.72139945528782e-05,"9261","MAPK activated protein kinase 2"
"2","PPP1CB",0.106295601053596,0.933214338616304,NA,30.2501196591619,4.03688031978315e-08,3.37890464281977e-07,"5500","protein phosphatase 1 catalytic subunit beta"
"3","PPP3R1",0.0883271833654997,1.17513956713639,NA,43.8064706342296,4.10937371674768e-11,5.15937338885964e-10,"5534","protein phosphatase 3 regulatory subunit B, alpha"
"4","ITPR1",0.140011502551462,0.979746440774455,NA,36.4116974907719,1.74348939066609e-09,1.77959875362579e-08,"3708","inositol 1,4,5-trisphosphate receptor type 1"
"5","NFKB1",0.0937276311592197,1.17213013622762,NA,48.4503513795181,3.94625271706908e-12,5.5331322597716e-11,"4790","nuclear factor kappa B subunit 1"
"6","CCNA2",0.0459929502384027,1.20776414801038,NA,29.5339381974101,5.82456585911588e-08,4.78425782756234e-07,"890","cyclin A2"
"7","CCNB1",0.105307217829223,0.785572274499884,NA,14.4147013098854,0.000148843444530916,0.000644565316512898,"891","cyclin B1"
"8","CDKN1A",0.0594585639241666,0.772725115326141,NA,5.37695271421907,0.0204550208938313,0.0478346168494555,"1026","cyclin dependent kinase inhibitor 1A"
"9","RHEB",0.16735978801648,0.848312082254423,NA,36.5001838249516,1.66679777177348e-09,1.70659418368869e-08,"6009","Ras homolog, mTORC1 binding"
"10","E2F5",0.227520868438112,1.44124543314535,NA,157.76684599352,1.63404236723367e-35,1.49877997127933e-33,"1875","E2F transcription factor 5"
"11","MYC",0.043574627873323,0.929528221093189,NA,10.3656759791457,0.00129414184352809,0.00441301420997769,"4609","MYC proto-oncogene, bHLH transcription factor"
"12","HRAS",0.0551574497658508,0.862138349234711,NA,14.1806177964223,0.000168477282239016,0.000720611380768436,"3265","HRas proto-oncogene, GTPase"
"13","RRAS2",0.118968520705769,1.0498433712903,NA,41.6015317777523,1.25342673623645e-10,1.49415706969413e-09,"22800","RAS related 2"
"14","RELA",0.141412176834378,0.805848023482021,NA,27.1167076827035,2.01245481494921e-07,1.52236558968208e-06,"5970","RELA proto-oncogene, NF-kB subunit"
"15","CDK1",0.0837546021876902,0.98182129082068,NA,24.3819763662323,8.22532852897232e-07,5.63486199225448e-06,"983","cyclin dependent kinase 1"
"16","PPP3CB",0.0893442300080019,0.869352720927837,NA,22.9182930074439,1.75193650825567e-06,1.12546582689887e-05,"5532","protein phosphatase 3 catalytic subunit beta"
"17","PTEN",0.165210603733444,0.857610201597203,NA,39.7221206828037,3.24761651302552e-10,3.64749310408512e-09,"5728","phosphatase and tensin homolog"
"18","PPP1CC",0.428484696627184,1.6732410112034,NA,398.931033889822,1.19071897707467e-84,7.86350812460113e-82,"5501","protein phosphatase 1 catalytic subunit gamma"
"19","FOXO1",0.209976833561996,1.6309882292233,NA,198.468273282894,5.0975707316082e-44,6.87027696153889e-42,"2308","forkhead box O1"
"20","ZFP36L1",1.962708697127,0.871205084872499,NA,146.176907019631,4.49718813864245e-33,3.45342214739474e-31,"677","ZFP36 ring finger protein like 1"
"21","AKT1",0.0536397082072633,0.988665648455198,NA,19.4790101760981,1.04413405677867e-05,5.81895469279857e-05,"207","AKT serine/threonine kinase 1"
"22","CCNB2",0.081854922532432,0.728573581633123,NA,9.09141729275924,0.00258437112790291,0.00803222646862257,"9133","cyclin B2"
"23","MAP2K1",0.128689455443891,0.774016555104119,NA,23.3512558840368,1.40055045436997e-06,9.16806880518031e-06,"5604","mitogen-activated protein kinase kinase 1"
"24","NFATC3",0.0665554498698663,0.716430175215865,NA,9.77390949770943,0.0017828512831607,0.00581429623407074,"4775","nuclear factor of activated T cells 3"
"25","SMAD2",0.151141150190566,1.22473094415289,NA,79.6681859086705,6.63551376583857e-19,1.8412156684705e-17,"4087","SMAD family member 2"
"26","MYBL2",0.164822606134418,1.51005482536339,NA,145.896135673394,5.15399080909247e-33,3.91229371301686e-31,"4605","MYB proto-oncogene like 2"
"27","GADD45B",0.0811270298653231,1.3055446533649,NA,45.2205043421621,2.0117997675958e-11,2.61020150593373e-10,"4616","growth arrest and DNA damage inducible beta"
"28","MAP2K2",0.124144212188159,2.47857234214439,NA,376.199444783691,3.8407751065169e-80,2.11370656695313e-77,"5605","mitogen-activated protein kinase kinase 2"
"29","AKT2",0.094242270634027,0.753815990223503,NA,16.1013020410895,6.11494952799359e-05,0.000288863567116378,"208","AKT serine/threonine kinase 2"
"30","TGFB1",0.281919057798896,1.01566370111915,NA,88.1795390041239,9.79111973536928e-21,3.13886188021256e-19,"7040","transforming growth factor beta 1"
"31","MAPK1",0.139684045339421,0.84563948967946,NA,31.4921565729045,2.13915980720318e-08,1.85637468682914e-07,"5594","mitogen-activated protein kinase 1"
