"","rowname","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","name"
"1","CDC20",0.131743125710527,0.394157487365283,NA,2.66747608689385,0.102497627456068,0.179833775696035,"991","cell division cycle 20"
"2","CDKN2C",0.101008786075034,0.514561612422657,NA,7.5586522616866,0.00599929455176217,0.016773641498661,"1031","cyclin dependent kinase inhibitor 2C"
"3","MCM6",0.0525223561492044,1.08593857689217,NA,28.1810604421837,1.16524819575595e-07,9.19390571657385e-07,"4175","minichromosome maintenance complex component 6"
"4","ORC2",0.0696855992425375,0.414616766784756,NA,3.00056167695938,0.0833133292517244,0.152073307456713,"4999","origin recognition complex subunit 2"
"5","SGO1",0.0730960873645375,0.389813518353789,NA,3.38093105205286,0.0660294416152126,0.126247374761686,"151648","shugoshin 1"
"6","MCM2",0.0520978940289582,1.01190641456561,NA,23.0009956833438,1.67857983638378e-06,1.08255285541782e-05,"4171","minichromosome maintenance complex component 2"
"7","ANAPC13",0.119652649190888,0.592869687086502,NA,11.0842973064162,0.000878560623665567,0.00315155587109582,"25847","anaphase promoting complex subunit 13"
"8","PDS5A",0.185722216688054,0.803848007890613,NA,37.5740091764425,9.65880537722277e-10,1.0238643773865e-08,"23244","PDS5 cohesin associated factor A"
"9","MAD2L1",0.0952621409684377,0.286822818768383,NA,2.48934097537752,0.114699387357928,0.197156364943195,"4085","mitotic arrest deficient 2 like 1"
"10","CCNA2",0.0459929502384027,1.20776414801038,NA,29.5339381974101,5.82456585911588e-08,4.78425782756234e-07,"890","cyclin A2"
"11","ANAPC10",0.0961202309856808,0.374372534007331,NA,3.7007424510682,0.0544596872080543,0.10797111207505,"10393","anaphase promoting complex subunit 10"
"12","NIPBL",0.294295415328793,0.450510569559309,NA,15.350813718114,9.07851746563117e-05,0.000413194550951263,"25836","NIPBL cohesin loading factor"
"13","CCNB1",0.105307217829223,0.785572274499884,NA,14.4147013098854,0.000148843444530916,0.000644565316512898,"891","cyclin B1"
"14","CCNH",0.165838275489356,0.471697614377306,NA,9.66214938840994,0.00189434609091918,0.00611748732734976,"902","cyclin H"
"15","PTTG1",0.314794717719655,0.349584620994764,NA,7.16941917772678,0.00744620080567788,0.0202129945359376,"9232","PTTG1 regulator of sister chromatid separation, securin"
"16","CDKN1A",0.0594585639241666,0.772725115326141,NA,5.37695271421907,0.0204550208938313,0.0478346168494555,"1026","cyclin dependent kinase inhibitor 1A"
"17","MAD2L1BP",0.0915719606804434,0.382459110330812,NA,3.60814943405091,0.0575694784317843,0.11294974318583,"9587","MAD2L1 binding protein"
"18","MCM3",0.196371801580617,0.43559261279217,NA,9.45724555055306,0.00211747562703121,0.00674243444595667,"4172","minichromosome maintenance complex component 3"
"19","ORC3",0.0580100236709943,0.325818752716247,NA,1.76527010999615,0.184044892239186,0.2870648248341,"23595","origin recognition complex subunit 3"
"20","FBXO5",0.0373030379498763,1.08203381561298,NA,19.5559263947531,1.00312559336195e-05,5.59986594975682e-05,"26271","F-box protein 5"
"21","MCM7",0.188484987537281,0.501715684131752,NA,11.1030609044586,0.000869740902125405,0.00312501029251152,"4176","minichromosome maintenance complex component 7"
"22","ORC5",0.0641718250067233,0.507968506063228,NA,4.69137043146138,0.0303738032252498,0.0665302144277113,"5001","origin recognition complex subunit 5"
"23","CUL1",0.097298301315805,1.12815931030897,NA,42.3409133766587,8.62188542816089e-11,1.04859910437522e-09,"8454","cullin 1"
"24","SMC1A",0.2292993624038,0.30624774798142,NA,5.31154260419695,0.0212359517373502,0.049311612262117,"8243","structural maintenance of chromosomes 1A"
"25","ATRX",0.488046218539767,0.506364743425775,NA,27.308739802929,1.82341277612257e-07,1.39051015860433e-06,"546","ATRX chromatin remodeler"
"26","MCM4",0.0503734886722638,1.11273587553706,NA,24.8591685903694,6.4309587345328e-07,4.46143368045183e-06,"4173","minichromosome maintenance complex component 4"
"27","E2F5",0.227520868438112,1.44124543314535,NA,157.76684599352,1.63404236723367e-35,1.49877997127933e-33,"1875","E2F transcription factor 5"
"28","YWHAZ",1.57969998812243,0.430008758839173,NA,52.9565254167749,4.08931226074492e-13,6.42995670713321e-12,"7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"29","RAD21",0.62108946751,0.624816689587824,NA,51.884213031693,7.00961715867405e-13,1.06908803038992e-11,"5885","RAD21 cohesin complex component"
"30","MYC",0.043574627873323,0.929528221093189,NA,10.3656759791457,0.00129414184352809,0.00441301420997769,"4609","MYC proto-oncogene, bHLH transcription factor"
"31","CDC26",0.216174325154875,0.273648237035026,NA,4.1279245114376,0.0422475224824845,0.0871417719041017,"246184","cell division cycle 26"
"32","WEE1",0.108791388657291,1.36009886167295,NA,74.6057852456257,8.2005801608275e-18,2.03596358579341e-16,"7465","WEE1 G2 checkpoint kinase"
"33","CDCA5",0.0233657872598013,1.21511911881192,NA,23.0528274270643,1.63418485796176e-06,1.05598403150484e-05,"113130","cell division cycle associated 5"
"34","CDK1",0.0837546021876902,0.98182129082068,NA,24.3819763662323,8.22532852897232e-07,5.63486199225448e-06,"983","cyclin dependent kinase 1"
"35","WAPL",0.186577805274137,0.833289988508305,NA,39.8970259496947,2.97207567618431e-10,3.37824230043394e-09,"23063","WAPL cohesin release factor"
"36","SMC3",0.272345732880365,0.376234194270787,NA,9.96121021430289,0.00161069674450021,0.00533720085332634,"9126","structural maintenance of chromosomes 3"
"37","CDKN1B",0.228917088012564,0.751597701200667,NA,31.7608243704333,1.86481304250552e-08,1.63331900964277e-07,"1027","cyclin dependent kinase inhibitor 1B"
"38","MDM2",0.165823230399057,0.43250368338791,NA,7.62821773080516,0.00577264617976385,0.0161947983734751,"4193","MDM2 proto-oncogene"
"39","PDS5B",0.0831251480264005,1.13404560490896,NA,38.1604554831841,7.17146768124891e-10,7.72599878743357e-09,"23047","PDS5 cohesin associated factor B"
"40","RB1",0.348278598763929,0.275867922383791,NA,5.91892158526301,0.0150229998610183,0.0370746977138134,"5925","RB transcriptional corepressor 1"
"41","TFDP1",0.117858721032205,1.29676053087105,NA,78.6188667190098,1.11694481291196e-18,2.99849737580105e-17,"7027","transcription factor Dp-1"
"42","PPP2R5E",0.14230435058003,0.311135796852631,NA,3.52635058147826,0.0604738473886484,0.117634547320953,"5529","protein phosphatase 2 regulatory subunit B'epsilon"
"43","KNL1",0.0518738463981409,1.44126367521301,NA,46.6337737098101,9.85971597042427e-12,1.31808834551988e-10,"57082","kinetochore scaffold 1"
"44","CCNB2",0.081854922532432,0.728573581633123,NA,9.09141729275924,0.00258437112790291,0.00803222646862257,"9133","cyclin B2"
"45","PKMYT1",0.0366969799540551,0.477336398581807,NA,3.41992364649081,0.0644882823408474,0.123802504819464,"9088","protein kinase, membrane associated tyrosine/threonine 1"
"46","CREBBP",0.120966320867933,0.271741611698422,NA,2.24428534425083,0.134188362857717,0.222658278470443,"1387","CREB binding protein"
"47","PLK1",0.0888531351614776,0.591906586363495,NA,5.41560841793034,0.0200075422810747,0.0470212844214297,"5347","polo like kinase 1"
"48","ORC6",0.0548894522639775,0.681723708819606,NA,9.53040012925814,0.00203490629539193,0.00651091142188388,"23594","origin recognition complex subunit 6"
"49","RBL2",0.201568528138217,0.292045273862992,NA,3.99797402824516,0.0456230255871131,0.0929634251704088,"5934","RB transcriptional corepressor like 2"
"50","CDT1",0.027771111563359,1.86428957389017,NA,66.7351237132201,4.1322643528184e-16,8.31996152012583e-15,"81620","chromatin licensing and DNA replication factor 1"
"51","YWHAE",0.541042832665541,0.40659360376033,NA,21.8626603033584,3.02610590408567e-06,1.85384075979423e-05,"7531","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon"
"52","TP53",0.0845201686397835,0.274092288926558,NA,1.83242719064448,0.175918190978635,0.277393580902531,"7157","tumor protein p53"
"53","AURKB",0.0676787607296327,0.33502301244143,NA,1.9532204027608,0.162318339075877,0.260180827516365,"9212","aurora kinase B"
"54","CDC27",0.121718353082625,0.306506206715093,NA,3.15914518773332,0.075579252505449,0.140361468938691,"996","cell division cycle 27"
"55","NDC80",0.0610307961881279,0.965308229603858,NA,20.1620626342993,7.3170650266175e-06,4.21265746867713e-05,"10403","NDC80 kinetochore complex component"
"56","ESCO1",0.13212745878354,0.759683329608878,NA,22.290341213287,2.42470934922111e-06,1.51492720361932e-05,"114799","establishment of sister chromatid cohesion N-acetyltransferase 1"
"57","SMAD2",0.151141150190566,1.22473094415289,NA,79.6681859086705,6.63551376583857e-19,1.8412156684705e-17,"4087","SMAD family member 2"
"58","SMAD4",0.0667354323898202,2.10492393978233,NA,139.108876077818,1.39556980336498e-31,9.50138451693023e-30,"4089","SMAD family member 4"
"59","CDC25B",0.0441195575720857,1.3568209023192,NA,33.8076035045304,6.56291151013342e-09,6.17399823545884e-08,"994","cell division cycle 25B"
"60","PCNA",0.106202163844126,0.755467749389927,NA,17.6529527450095,2.7093054492909e-05,0.000138699637109435,"5111","proliferating cell nuclear antigen"
"61","GADD45B",0.0811270298653231,1.3055446533649,NA,45.2205043421621,2.0117997675958e-11,2.61020150593373e-10,"4616","growth arrest and DNA damage inducible beta"
"62","CDKN2D",0.073666280914759,0.940128215409988,NA,22.2574693099585,2.46633885255192e-06,1.53948031968364e-05,"1032","cyclin dependent kinase inhibitor 2D"
"63","TGFB1",0.281919057798896,1.01566370111915,NA,88.1795390041239,9.79111973536928e-21,3.13886188021256e-19,"7040","transforming growth factor beta 1"
"64","YWHAH",0.327453534361701,0.490141704430726,NA,18.911756626698,1.40341942315502e-05,7.61559726418716e-05,"7533","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta"
"65","MCM5",0.379126701968851,0.515262443642926,NA,23.5211378629022,1.28284216022929e-06,8.48036999615041e-06,"4174","minichromosome maintenance complex component 5"
"66","EP300",0.133119552624755,0.32796408477899,NA,3.55591282924096,0.0594066164216129,0.115975451682279,"2033","E1A binding protein p300"
