"","rowname","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","name"
"1","JUN",0.703446482988339,1.40641931810025,NA,117.461228473692,5.41211712182e-27,2.72836805133582e-25,"3725","Jun proto-oncogene, AP-1 transcription factor subunit"
"2","ELK4",0.0702663891618526,0.862104444855161,NA,16.9561393864416,3.90317888197559e-05,0.000193227836106198,"2005","ETS transcription factor ELK4"
"3","MAPKAPK2",0.0619043826008493,0.993849793203938,NA,21.0731173082647,4.55764354565161e-06,2.72139945528782e-05,"9261","MAPK activated protein kinase 2"
"4","PPP3R1",0.0883271833654997,1.17513956713639,NA,43.8064706342296,4.10937371674768e-11,5.15937338885964e-10,"5534","protein phosphatase 3 regulatory subunit B, alpha"
"5","DUSP2",0.134116586930286,0.828143001573074,NA,13.2983364401061,0.000269049187341784,0.00109543824488603,"1844","dual specificity phosphatase 2"
"6","MAP4K4",0.140750938693717,1.10178897440832,NA,56.190941994246,8.06426448727119e-14,1.3482633588339e-12,"9448","mitogen-activated protein kinase kinase kinase kinase 4"
"7","MAP3K2",0.0907292436799311,0.944529424656952,NA,24.5620124232025,7.49584249608679e-07,5.15651498376637e-06,"10746","mitogen-activated protein kinase kinase kinase 2"
"8","NFKB1",0.0937276311592197,1.17213013622762,NA,48.4503513795181,3.94625271706908e-12,5.5331322597716e-11,"4790","nuclear factor kappa B subunit 1"
"9","DUSP1",0.424538107335636,2.04578513261709,NA,198.881124413812,4.18370755138314e-44,5.75608430611131e-42,"1843","dual specificity phosphatase 1"
"10","TAB2",0.0569497574826418,0.792729640537167,NA,10.4510046027137,0.00123585459725952,0.00423758243006328,"23118","TGF-beta activated kinase 1 (MAP3K7) binding protein 2"
"11","RAC1",0.564956985051332,0.990338786162467,NA,158.961570914407,9.16704051226175e-36,8.77378775985168e-34,"5879","Rac family small GTPase 1"
"12","HSPB1",0.164155056841734,1.65744692858559,NA,155.735274465193,4.36846115332832e-35,3.79596282323424e-33,"3315","heat shock protein family B (small) member 1"
"13","BRAF",0.100483024498195,0.622680474416874,NA,10.869296416307,0.000986317532620988,0.00348509416020814,"673","B-Raf proto-oncogene, serine/threonine kinase"
"14","MYC",0.043574627873323,0.929528221093189,NA,10.3656759791457,0.00129414184352809,0.00441301420997769,"4609","MYC proto-oncogene, bHLH transcription factor"
"15","HRAS",0.0551574497658508,0.862138349234711,NA,14.1806177964223,0.000168477282239016,0.000720611380768436,"3265","HRas proto-oncogene, GTPase"
"16","RRAS2",0.118968520705769,1.0498433712903,NA,41.6015317777523,1.25342673623645e-10,1.49415706969413e-09,"22800","RAS related 2"
"17","VEGFB",0.0589245115265657,1.76539840523088,NA,71.4989943713445,3.84695980724478e-17,8.91414826913844e-16,"7423","vascular endothelial growth factor B"
"18","MAP4K2",0.156951146265723,0.628325821691927,NA,18.0602327066055,2.18940319970278e-05,0.000114028538886729,"5871","mitogen-activated protein kinase kinase kinase kinase 2"
"19","MAP3K11",0.068937262940095,0.900744008835489,NA,17.9270999949134,2.34726182776847e-05,0.000121578957730063,"4296","mitogen-activated protein kinase kinase kinase 11"
"20","RELA",0.141412176834378,0.805848023482021,NA,27.1167076827035,2.01245481494921e-07,1.52236558968208e-06,"5970","RELA proto-oncogene, NF-kB subunit"
"21","PDGFD",0.115203689321394,0.752802806852448,NA,17.490467652396,2.94987181328819e-05,0.00014985348811504,"80310","platelet derived growth factor D"
"22","PPP3CB",0.0893442300080019,0.869352720927837,NA,22.9182930074439,1.75193650825567e-06,1.12546582689887e-05,"5532","protein phosphatase 3 catalytic subunit beta"
"23","DDIT3",0.175449895662245,1.06370665305742,NA,48.1306997452814,4.63583655467121e-12,6.44527675937866e-11,"1649","DNA damage inducible transcript 3"
"24","RAP1B",0.404363416477543,0.80991315324997,NA,79.2165326534749,8.30245833132538e-19,2.2656791247964e-17,"5908","RAP1B, member of RAS oncogene family"
"25","FOS",0.322272480223704,2.53177491788145,NA,188.648129504344,5.63687744949236e-42,7.02376201442407e-40,"2353","Fos proto-oncogene, AP-1 transcription factor subunit"
"26","AKT1",0.0536397082072633,0.988665648455198,NA,19.4790101760981,1.04413405677867e-05,5.81895469279857e-05,"207","AKT serine/threonine kinase 1"
"27","MAP2K1",0.128689455443891,0.774016555104119,NA,23.3512558840368,1.40055045436997e-06,9.16806880518031e-06,"5604","mitogen-activated protein kinase kinase 1"
"28","NFATC3",0.0665554498698663,0.716430175215865,NA,9.77390949770943,0.0017828512831607,0.00581429623407074,"4775","nuclear factor of activated T cells 3"
"29","NF1",0.0753338810080745,0.656053363924796,NA,8.78074729182521,0.00306234509296222,0.00930682328298319,"4763","neurofibromin 1"
"30","CDC25B",0.0441195575720857,1.3568209023192,NA,33.8076035045304,6.56291151013342e-09,6.17399823545884e-08,"994","cell division cycle 25B"
"31","MKNK2",0.215987720123076,1.40591161417723,NA,141.207072716525,5.03009772062126e-32,3.46028805697738e-30,"2872","MAPK interacting serine/threonine kinase 2"
"32","GADD45B",0.0811270298653231,1.3055446533649,NA,45.2205043421621,2.0117997675958e-11,2.61020150593373e-10,"4616","growth arrest and DNA damage inducible beta"
"33","MAP2K2",0.124144212188159,2.47857234214439,NA,376.199444783691,3.8407751065169e-80,2.11370656695313e-77,"5605","mitogen-activated protein kinase kinase 2"
"34","JUND",0.341878733458245,2.97199585630081,NA,539.894923500492,4.38382155923794e-112,4.82512626286789e-109,"3727","JunD proto-oncogene, AP-1 transcription factor subunit"
"35","AKT2",0.094242270634027,0.753815990223503,NA,16.1013020410895,6.11494952799359e-05,0.000288863567116378,"208","AKT serine/threonine kinase 2"
"36","TGFB1",0.281919057798896,1.01566370111915,NA,88.1795390041239,9.79111973536928e-21,3.13886188021256e-19,"7040","transforming growth factor beta 1"
"37","CRKL",0.0832755855427759,1.04945392422586,NA,30.669803057995,3.2569248334876e-08,2.75399892450091e-07,"1399","CRK like proto-oncogene, adaptor protein"
"38","MAPK1",0.139684045339421,0.84563948967946,NA,31.4921565729045,2.13915980720318e-08,1.85637468682914e-07,"5594","mitogen-activated protein kinase 1"
